name,hex,rgb,hsl
IndianRed,CD5C5C,"205, 92, 92","0, 53, 58"
LightCoral,F08080,"240, 128, 128","0, 79, 72"
Salmon,FA8072,"250, 128, 114","6, 93, 71"
DarkSalmon,E9967A,"233, 150, 122","15, 72, 70"
LightSalmon,FFA07A,"255, 160, 122","17, 100, 74"
Crimson,DC143C,"220, 20, 60","348, 83, 47"
Red,FF0000,"255, 0, 0","0, 100, 50"
FireBrick,B22222,"178, 34, 34","0, 68, 42"
DarkRed,8B0000,"139, 0, 0","0, 100, 27"
Pink,FFC0CB,"255, 192, 203","350, 100, 88"
LightPink,FFB6C1,"255, 182, 193","351, 100, 86"
HotPink,FF69B4,"255, 105, 180","330, 100, 71"
DeepPink,FF1493,"255, 20, 147","328, 100, 54"
MediumVioletRed,C71585,"199, 21, 133","322, 81, 43"
PaleVioletRed,DB7093,"219, 112, 147","340, 60, 65"
LightSalmon,FFA07A,"255, 160, 122","17, 100, 74"
Coral,FF7F50,"255, 127, 80","16, 100, 66"
Tomato,FF6347,"255, 99, 71","9, 100, 64"
OrangeRed,FF4500,"255, 69, 0","16, 100, 50"
DarkOrange,FF8C00,"255, 140, 0","33, 100, 50"
Orange,FFA500,"255, 165, 0","39, 100, 50"
Gold,FFD700,"255, 215, 0","51, 100, 50"
Yellow,FFFF00,"255, 255, 0","60, 100, 50"
LightYellow,FFFFE0,"255, 255, 224","60, 100, 94"
LemonChiffon,FFFACD,"255, 250, 205","54, 100, 90"
LightGoldenrodYellow,FAFAD2,"250, 250, 210","60, 80, 90"
PapayaWhip,FFEFD5,"255, 239, 213","37, 100, 92"
Moccasin,FFE4B5,"255, 228, 181","38, 100, 85"
PeachPuff,FFDAB9,"255, 218, 185","28, 100, 86"
PaleGoldenrod,EEE8AA,"238, 232, 170","55, 67, 80"
Khaki,F0E68C,"240, 230, 140","54, 77, 75"
DarkKhaki,BDB76B,"189, 183, 107","56, 38, 58"
Lavender,E6E6FA,"230, 230, 250","240, 67, 94"
Thistle,D8BFD8,"216, 191, 216","300, 24, 80"
Plum,DDA0DD,"221, 160, 221","300, 47, 75"
Violet,EE82EE,"238, 130, 238","300, 76, 72"
